iter	Passed	Remaining
0	216	216179
1	260	130028
2	300	99880
3	341	84942
4	379	75510
5	422	69980
6	459	65219
7	502	62300
8	543	59823
9	586	58029
10	624	56165
11	664	54745
12	710	53943
13	751	52896
14	789	51859
15	831	51165
16	873	50522
17	923	50396
18	985	50876
19	1033	50624
20	1115	51987
21	1165	51831
22	1209	51395
23	1259	51202
24	1306	50964
25	1358	50892
26	1411	50860
27	1458	50644
28	1506	50440
29	1545	49968
30	1587	49637
31	1634	49432
32	1685	49397
33	1727	49092
34	1771	48839
35	1813	48560
36	1855	48306
37	1902	48174
38	1938	47775
39	1973	47369
40	2010	47036
41	2043	46620
42	2085	46407
43	2125	46176
44	2167	46006
45	2203	45691
46	2237	45370
47	2273	45099
48	2307	44776
49	2360	44853
50	2398	44639
51	2438	44449
52	2477	44270
53	2509	43968
54	2545	43741
55	2581	43521
56	2616	43280
57	2651	43061
58	2697	43024
59	2737	42891
60	2775	42731
61	2811	42540
62	2850	42399
63	2892	42305
64	2935	42231
65	2977	42131
66	3009	41912
67	3046	41756
68	3083	41604
69	3124	41507
70	3167	41440
71	3201	41270
72	3238	41120
73	3276	40999
74	3309	40820
75	3351	40741
76	3385	40580
77	3427	40517
78	3465	40400
79	3506	40321
80	3545	40225
81	3584	40128
82	3620	40001
83	3662	39943
84	3705	39886
85	3750	39856
86	3786	39740
87	3827	39665
88	3869	39608
89	3911	39544
90	3946	39425
91	3981	39292
92	4022	39234
93	4061	39150
94	4103	39092
95	4145	39040
96	4185	38959
97	4221	38852
98	4257	38749
99	4294	38650
100	4330	38545
101	4369	38471
102	4409	38405
103	4446	38304
104	4488	38258
105	4522	38145
106	4560	38058
107	4596	37965
108	4633	37872
109	4670	37785
110	4709	37721
111	4748	37649
112	4782	37541
113	4824	37497
114	4866	37447
115	4909	37410
116	4945	37326
117	4982	37241
118	5019	37162
119	5055	37075
120	5092	36991
121	5133	36946
122	5177	36912
123	5213	36831
124	5248	36737
125	5284	36655
126	5319	36564
127	5351	36460
128	5389	36387
129	5427	36319
130	5469	36281
131	5505	36203
132	5540	36114
133	5576	36037
134	5609	35940
135	5654	35923
136	5701	35917
137	5745	35890
